date,scenario,returns_received,staff_available,normal_staff_capacity,processing_capacity,average_processing_minutes,backlog_size,carrier_delay_hours,urgent_demand_index,inspection_capacity,system_status
2025-03-05,NORMAL,34,25,30,60,14,16,1.8,1.0,60,HEALTHY
2025-03-06,DELIVERY_DELAY,77,25,30,60,20,26,36.6,1.0,60,DEGRADED
2025-03-07,NORMAL,41,29,30,60,18,18,2.0,1.0,60,HEALTHY
2025-03-08,DELIVERY_DELAY,79,26,30,60,17,45,41.2,1.0,60,DEGRADED
2025-03-09,CAPACITY_LOSS,40,13,30,35,35,90,3.8,1.0,35,DEGRADED
2025-03-10,CAPACITY_LOSS,67,17,30,35,32,57,1.5,1.0,35,DEGRADED
2025-03-11,DELIVERY_DELAY,62,25,30,60,22,27,19.2,1.0,60,DEGRADED
2025-03-12,URGENT_DEMAND,112,30,30,70,23,88,2.1,1.29,70,HEALTHY
2025-03-13,NORMAL,57,25,30,60,18,13,1.0,1.0,60,HEALTHY
2025-03-14,NORMAL,51,29,30,60,14,5,0.7,1.0,60,HEALTHY
2025-03-15,URGENT_DEMAND,101,32,30,70,24,64,2.7,1.65,70,HEALTHY
2025-03-16,DELIVERY_DELAY,60,28,30,60,16,32,44.4,1.0,60,DEGRADED
2025-03-17,NORMAL,31,30,30,60,15,5,1.3,1.0,60,HEALTHY
2025-03-18,CAPACITY_LOSS,61,17,30,35,31,63,2.3,1.0,35,DEGRADED
2025-03-19,URGENT_DEMAND,148,30,30,70,29,100,6.0,1.19,70,HEALTHY
2025-03-20,URGENT_DEMAND,122,30,30,70,30,112,4.0,2.05,70,HEALTHY
2025-03-21,NORMAL,36,28,30,60,17,17,1.5,1.0,60,HEALTHY
2025-03-22,URGENT_DEMAND,129,32,30,70,24,111,5.3,1.0,70,HEALTHY
2025-03-23,NORMAL,43,29,30,60,16,15,1.2,1.0,60,HEALTHY
2025-03-24,NORMAL,36,29,30,60,15,10,1.5,1.0,60,HEALTHY
2025-03-25,NORMAL,51,30,30,60,16,15,0.6,1.0,60,HEALTHY
2025-03-26,URGENT_DEMAND,105,30,30,70,23,85,2.9,1.07,70,HEALTHY
2025-03-27,URGENT_DEMAND,129,28,30,70,27,113,7.3,1.86,70,HEALTHY
2025-03-28,DELIVERY_DELAY,62,28,30,60,21,27,17.3,1.0,60,DEGRADED
2025-03-29,NORMAL,58,25,30,60,18,18,0.8,1.0,60,HEALTHY
2025-03-30,CAPACITY_LOSS,62,16,30,35,39,43,2.7,1.0,35,DEGRADED
2025-03-31,URGENT_DEMAND,97,31,30,70,22,119,6.0,2.48,70,HEALTHY
2025-04-01,NORMAL,60,28,30,60,16,18,1.7,1.0,60,HEALTHY
2025-04-02,NORMAL,58,26,30,60,17,20,1.2,1.0,60,HEALTHY
2025-04-03,DELIVERY_DELAY,76,30,30,60,19,44,40.0,1.0,60,DEGRADED
2025-04-04,NORMAL,37,27,30,60,15,7,1.6,1.0,60,HEALTHY
2025-04-05,NORMAL,40,27,30,60,16,7,0.7,1.0,60,HEALTHY
2025-04-06,NORMAL,52,26,30,60,17,11,0.6,1.0,60,HEALTHY
2025-04-07,NORMAL,47,28,30,60,15,6,0.8,1.0,60,HEALTHY
2025-04-08,NORMAL,58,29,30,60,17,5,1.8,1.0,60,HEALTHY
2025-04-09,DELIVERY_DELAY,62,28,30,60,15,50,24.7,1.0,60,DEGRADED
2025-04-10,DELIVERY_DELAY,77,28,30,60,18,35,19.9,1.0,60,DEGRADED
2025-04-11,NORMAL,30,28,30,60,14,17,1.6,1.0,60,HEALTHY
2025-04-12,CAPACITY_LOSS,69,13,30,35,25,98,2.2,1.0,35,DEGRADED
2025-04-13,NORMAL,30,25,30,60,17,18,0.7,1.0,60,HEALTHY
2025-04-14,NORMAL,31,27,30,60,15,15,0.8,1.0,60,HEALTHY
2025-04-15,NORMAL,54,28,30,60,14,18,0.9,1.0,60,HEALTHY
2025-04-16,NORMAL,30,30,30,60,16,6,2.0,1.0,60,HEALTHY
2025-04-17,NORMAL,50,25,30,60,18,6,1.6,1.0,60,HEALTHY
2025-04-18,URGENT_DEMAND,102,28,30,70,29,79,3.4,1.71,70,HEALTHY
2025-04-19,NORMAL,60,26,30,60,15,13,1.7,1.0,60,HEALTHY
2025-04-20,NORMAL,49,30,30,60,17,8,1.7,1.0,60,HEALTHY
2025-04-21,NORMAL,39,25,30,60,16,5,1.9,1.0,60,HEALTHY
2025-04-22,NORMAL,59,28,30,60,15,11,0.6,1.0,60,HEALTHY
2025-04-23,NORMAL,50,26,30,60,12,14,1.8,1.0,60,HEALTHY
2025-04-24,NORMAL,33,29,30,60,18,6,1.0,1.0,60,HEALTHY
2025-04-25,NORMAL,41,25,30,60,16,15,0.5,1.0,60,HEALTHY
2025-04-26,NORMAL,45,25,30,60,15,16,1.5,1.0,60,HEALTHY
2025-04-27,CAPACITY_LOSS,62,13,30,35,38,51,3.2,1.0,35,DEGRADED
2025-04-28,URGENT_DEMAND,107,32,30,70,28,121,4.8,2.24,70,HEALTHY
2025-04-29,NORMAL,40,26,30,60,18,7,0.9,1.0,60,HEALTHY
2025-04-30,NORMAL,54,28,30,60,16,17,1.0,1.0,60,HEALTHY
2025-05-01,NORMAL,40,26,30,60,15,11,1.0,1.0,60,HEALTHY
2025-05-02,NORMAL,38,29,30,60,17,13,1.3,1.0,60,HEALTHY
2025-05-03,NORMAL,36,25,30,60,13,18,1.2,1.0,60,HEALTHY
2025-05-04,DELIVERY_DELAY,72,28,30,60,22,34,40.5,1.0,60,DEGRADED
2025-05-05,NORMAL,37,28,30,60,17,12,1.0,1.0,60,HEALTHY
2025-05-06,NORMAL,45,29,30,60,16,16,1.1,1.0,60,HEALTHY
2025-05-07,DELIVERY_DELAY,60,27,30,60,22,28,23.0,1.0,60,DEGRADED
2025-05-08,NORMAL,53,26,30,60,14,8,1.6,1.0,60,HEALTHY
2025-05-09,URGENT_DEMAND,134,29,30,70,23,87,6.4,1.41,70,HEALTHY
2025-05-10,NORMAL,54,29,30,60,16,14,2.0,1.0,60,HEALTHY
2025-05-11,CAPACITY_LOSS,49,13,30,35,36,51,1.9,1.0,35,DEGRADED
2025-05-12,DELIVERY_DELAY,54,27,30,60,15,21,31.9,1.0,60,DEGRADED
2025-05-13,NORMAL,34,30,30,60,18,20,0.7,1.0,60,HEALTHY
2025-05-14,NORMAL,39,28,30,60,15,19,1.0,1.0,60,HEALTHY
2025-05-15,URGENT_DEMAND,106,31,30,70,21,68,4.4,1.11,70,HEALTHY
2025-05-16,NORMAL,31,26,30,60,13,14,0.6,1.0,60,HEALTHY
2025-05-17,NORMAL,47,28,30,60,16,12,1.7,1.0,60,HEALTHY
2025-05-18,NORMAL,59,28,30,60,14,18,1.0,1.0,60,HEALTHY
2025-05-19,NORMAL,49,30,30,60,12,11,1.4,1.0,60,HEALTHY
2025-05-20,NORMAL,32,26,30,60,13,10,1.3,1.0,60,HEALTHY
2025-05-21,NORMAL,43,28,30,60,17,20,0.9,1.0,60,HEALTHY
2025-05-22,NORMAL,52,27,30,60,17,19,0.6,1.0,60,HEALTHY
2025-05-23,NORMAL,38,30,30,60,16,11,1.1,1.0,60,HEALTHY
2025-05-24,NORMAL,50,26,30,60,14,9,0.6,1.0,60,HEALTHY
2025-05-25,NORMAL,39,29,30,60,17,14,1.2,1.0,60,HEALTHY
2025-05-26,NORMAL,39,30,30,60,15,13,1.3,1.0,60,HEALTHY
2025-05-27,NORMAL,32,29,30,60,12,18,1.6,1.0,60,HEALTHY
2025-05-28,NORMAL,30,25,30,60,13,5,2.0,1.0,60,HEALTHY
2025-05-29,NORMAL,38,29,30,60,12,10,1.2,1.0,60,HEALTHY
2025-05-30,NORMAL,59,27,30,60,13,18,1.5,1.0,60,HEALTHY
2025-05-31,NORMAL,32,28,30,60,14,18,1.0,1.0,60,HEALTHY
2025-06-01,NORMAL,57,26,30,60,14,18,1.5,1.0,60,HEALTHY
2025-06-02,NORMAL,60,28,30,60,18,6,1.2,1.0,60,HEALTHY
2025-06-03,NORMAL,40,25,30,60,18,17,1.8,1.0,60,HEALTHY
2025-06-04,CAPACITY_LOSS,40,17,30,35,39,66,1.2,1.0,35,DEGRADED
2025-06-05,NORMAL,49,28,30,60,17,19,1.6,1.0,60,HEALTHY
2025-06-06,NORMAL,47,26,30,60,14,19,1.8,1.0,60,HEALTHY
2025-06-07,NORMAL,30,30,30,60,16,12,1.6,1.0,60,HEALTHY
2025-06-08,NORMAL,30,29,30,60,15,7,0.8,1.0,60,HEALTHY
2025-06-09,CAPACITY_LOSS,43,15,30,35,28,81,3.5,1.0,35,DEGRADED
2025-06-10,NORMAL,52,27,30,60,16,13,1.1,1.0,60,HEALTHY
2025-06-11,NORMAL,45,26,30,60,15,9,1.1,1.0,60,HEALTHY
2025-06-12,URGENT_DEMAND,122,29,30,70,21,95,6.6,2.28,70,HEALTHY
2025-06-13,NORMAL,55,29,30,60,14,5,0.9,1.0,60,HEALTHY
2025-06-14,NORMAL,48,29,30,60,17,20,1.8,1.0,60,HEALTHY
2025-06-15,NORMAL,45,27,30,60,14,17,1.2,1.0,60,HEALTHY
2025-06-16,NORMAL,36,30,30,60,13,17,0.9,1.0,60,HEALTHY
2025-06-17,DELIVERY_DELAY,51,27,30,60,22,42,44.9,1.0,60,DEGRADED
2025-06-18,NORMAL,51,30,30,60,13,20,1.9,1.0,60,HEALTHY
2025-06-19,NORMAL,60,29,30,60,14,8,1.8,1.0,60,HEALTHY
2025-06-20,NORMAL,46,28,30,60,12,9,1.1,1.0,60,HEALTHY
2025-06-21,NORMAL,34,25,30,60,15,13,1.0,1.0,60,HEALTHY
2025-06-22,NORMAL,50,25,30,60,18,15,1.8,1.0,60,HEALTHY
2025-06-23,CAPACITY_LOSS,52,14,30,35,40,95,2.6,1.0,35,DEGRADED
2025-06-24,NORMAL,37,30,30,60,17,14,2.0,1.0,60,HEALTHY
2025-06-25,DELIVERY_DELAY,63,25,30,60,16,34,18.0,1.0,60,DEGRADED
2025-06-26,NORMAL,30,25,30,60,14,6,0.9,1.0,60,HEALTHY
2025-06-27,NORMAL,34,26,30,60,16,18,1.3,1.0,60,HEALTHY
2025-06-28,DELIVERY_DELAY,55,26,30,60,16,39,43.4,1.0,60,DEGRADED
2025-06-29,NORMAL,37,28,30,60,16,9,0.8,1.0,60,HEALTHY
2025-06-30,NORMAL,44,27,30,60,17,5,1.8,1.0,60,HEALTHY
2025-07-01,NORMAL,39,30,30,60,16,10,0.6,1.0,60,HEALTHY
2025-07-02,URGENT_DEMAND,127,30,30,70,30,114,6.1,1.69,70,HEALTHY
2025-07-03,NORMAL,42,28,30,60,12,12,1.1,1.0,60,HEALTHY
2025-07-04,NORMAL,39,30,30,60,14,5,2.0,1.0,60,HEALTHY
2025-07-05,NORMAL,38,25,30,60,16,6,1.9,1.0,60,HEALTHY
2025-07-06,DELIVERY_DELAY,76,27,30,60,18,39,40.9,1.0,60,DEGRADED
2025-07-07,NORMAL,36,29,30,60,14,9,1.4,1.0,60,HEALTHY
2025-07-08,URGENT_DEMAND,131,28,30,70,24,116,2.2,1.55,70,HEALTHY
2025-07-09,NORMAL,59,27,30,60,14,18,0.8,1.0,60,HEALTHY
2025-07-10,NORMAL,47,27,30,60,16,13,1.7,1.0,60,HEALTHY
2025-07-11,NORMAL,56,28,30,60,18,14,1.6,1.0,60,HEALTHY
2025-07-12,NORMAL,33,28,30,60,12,9,1.6,1.0,60,HEALTHY
2025-07-13,NORMAL,51,30,30,60,17,17,2.0,1.0,60,HEALTHY
2025-07-14,CAPACITY_LOSS,51,12,30,35,37,40,1.8,1.0,35,DEGRADED
2025-07-15,NORMAL,41,30,30,60,17,13,1.4,1.0,60,HEALTHY
2025-07-16,CAPACITY_LOSS,70,14,30,35,28,83,1.7,1.0,35,DEGRADED
2025-07-17,NORMAL,58,29,30,60,14,12,1.5,1.0,60,HEALTHY
2025-07-18,NORMAL,44,30,30,60,14,18,0.7,1.0,60,HEALTHY
2025-07-19,NORMAL,31,27,30,60,15,8,0.6,1.0,60,HEALTHY
2025-07-20,CAPACITY_LOSS,44,15,30,35,39,63,3.0,1.0,35,DEGRADED
2025-07-21,DELIVERY_DELAY,80,29,30,60,21,38,38.7,1.0,60,DEGRADED
2025-07-22,NORMAL,43,30,30,60,12,20,1.4,1.0,60,HEALTHY
2025-07-23,URGENT_DEMAND,107,28,30,70,25,87,4.7,2.43,70,HEALTHY
2025-07-24,CAPACITY_LOSS,43,17,30,35,36,74,3.7,1.0,35,DEGRADED
2025-07-25,NORMAL,31,28,30,60,14,11,2.0,1.0,60,HEALTHY
2025-07-26,URGENT_DEMAND,142,31,30,70,21,87,5.9,1.9,70,HEALTHY
2025-07-27,NORMAL,55,27,30,60,13,9,1.7,1.0,60,HEALTHY
2025-07-28,NORMAL,56,29,30,60,13,11,1.7,1.0,60,HEALTHY
2025-07-29,NORMAL,54,26,30,60,18,5,0.9,1.0,60,HEALTHY
2025-07-30,URGENT_DEMAND,98,32,30,70,24,82,2.7,2.3,70,HEALTHY
2025-07-31,NORMAL,41,26,30,60,16,15,0.5,1.0,60,HEALTHY
2025-08-01,NORMAL,34,30,30,60,15,8,1.6,1.0,60,HEALTHY
2025-08-02,NORMAL,54,27,30,60,16,8,1.2,1.0,60,HEALTHY
2025-08-03,NORMAL,49,25,30,60,17,14,1.2,1.0,60,HEALTHY
2025-08-04,URGENT_DEMAND,93,31,30,70,26,114,6.1,1.74,70,HEALTHY
2025-08-05,URGENT_DEMAND,94,28,30,70,25,78,2.4,1.41,70,HEALTHY
2025-08-06,NORMAL,47,30,30,60,14,17,2.0,1.0,60,HEALTHY
2025-08-07,NORMAL,44,29,30,60,16,18,0.6,1.0,60,HEALTHY
2025-08-08,DELIVERY_DELAY,77,30,30,60,18,33,28.3,1.0,60,DEGRADED
2025-08-09,NORMAL,40,28,30,60,15,18,1.6,1.0,60,HEALTHY
2025-08-10,NORMAL,40,30,30,60,14,16,1.9,1.0,60,HEALTHY
2025-08-11,NORMAL,45,25,30,60,12,7,0.6,1.0,60,HEALTHY
2025-08-12,NORMAL,53,27,30,60,18,9,1.3,1.0,60,HEALTHY
2025-08-13,NORMAL,47,29,30,60,14,8,1.1,1.0,60,HEALTHY
2025-08-14,CAPACITY_LOSS,70,18,30,35,38,95,3.7,1.0,35,DEGRADED
2025-08-15,NORMAL,39,29,30,60,14,16,0.7,1.0,60,HEALTHY
2025-08-16,NORMAL,34,30,30,60,15,12,1.8,1.0,60,HEALTHY
2025-08-17,NORMAL,47,27,30,60,12,13,1.4,1.0,60,HEALTHY
2025-08-18,CAPACITY_LOSS,67,16,30,35,25,78,3.8,1.0,35,DEGRADED
2025-08-19,CAPACITY_LOSS,48,12,30,35,30,57,3.1,1.0,35,DEGRADED
2025-08-20,NORMAL,40,27,30,60,12,10,1.8,1.0,60,HEALTHY
2025-08-21,NORMAL,42,25,30,60,13,5,0.6,1.0,60,HEALTHY
2025-08-22,NORMAL,42,28,30,60,15,15,0.7,1.0,60,HEALTHY
2025-08-23,NORMAL,40,29,30,60,16,7,1.8,1.0,60,HEALTHY
2025-08-24,NORMAL,54,29,30,60,12,7,0.9,1.0,60,HEALTHY
2025-08-25,NORMAL,45,29,30,60,15,18,0.9,1.0,60,HEALTHY
2025-08-26,DELIVERY_DELAY,53,27,30,60,21,23,22.2,1.0,60,DEGRADED
2025-08-27,NORMAL,45,29,30,60,17,14,0.6,1.0,60,HEALTHY
2025-08-28,NORMAL,49,25,30,60,12,11,1.0,1.0,60,HEALTHY
2025-08-29,NORMAL,34,27,30,60,14,15,0.7,1.0,60,HEALTHY
2025-08-30,NORMAL,43,26,30,60,13,17,1.3,1.0,60,HEALTHY
2025-08-31,NORMAL,47,30,30,60,18,16,0.6,1.0,60,HEALTHY
2025-09-01,CAPACITY_LOSS,41,15,30,35,25,69,3.8,1.0,35,DEGRADED
2025-09-02,CAPACITY_LOSS,58,15,30,35,37,85,2.9,1.0,35,DEGRADED
2025-09-03,NORMAL,42,25,30,60,14,10,1.7,1.0,60,HEALTHY
2025-09-04,NORMAL,56,30,30,60,14,7,1.2,1.0,60,HEALTHY
2025-09-05,NORMAL,43,29,30,60,15,7,1.1,1.0,60,HEALTHY
2025-09-06,NORMAL,40,26,30,60,14,10,0.6,1.0,60,HEALTHY
2025-09-07,NORMAL,46,29,30,60,13,16,1.0,1.0,60,HEALTHY
2025-09-08,URGENT_DEMAND,131,29,30,70,23,73,2.9,1.3,70,HEALTHY
2025-09-09,NORMAL,54,30,30,60,12,10,1.9,1.0,60,HEALTHY
2025-09-10,NORMAL,44,29,30,60,18,19,1.5,1.0,60,HEALTHY
2025-09-11,CAPACITY_LOSS,60,17,30,35,35,95,3.9,1.0,35,DEGRADED
2025-09-12,NORMAL,44,25,30,60,15,19,1.4,1.0,60,HEALTHY
2025-09-13,DELIVERY_DELAY,68,25,30,60,20,36,14.7,1.0,60,DEGRADED
2025-09-14,NORMAL,31,25,30,60,14,14,0.6,1.0,60,HEALTHY
2025-09-15,CAPACITY_LOSS,67,12,30,35,37,69,2.7,1.0,35,DEGRADED
2025-09-16,URGENT_DEMAND,137,28,30,70,27,84,3.9,1.71,70,HEALTHY
2025-09-17,NORMAL,31,28,30,60,12,15,2.0,1.0,60,HEALTHY
2025-09-18,NORMAL,50,26,30,60,12,12,1.6,1.0,60,HEALTHY
2025-09-19,URGENT_DEMAND,123,32,30,70,29,80,4.2,2.38,70,HEALTHY
2025-09-20,NORMAL,54,27,30,60,17,6,1.7,1.0,60,HEALTHY
2025-09-21,NORMAL,32,27,30,60,12,17,0.9,1.0,60,HEALTHY
2025-09-22,DELIVERY_DELAY,71,29,30,60,17,30,14.9,1.0,60,DEGRADED
2025-09-23,NORMAL,59,27,30,60,14,17,0.7,1.0,60,HEALTHY
2025-09-24,DELIVERY_DELAY,52,27,30,60,21,40,40.5,1.0,60,DEGRADED
2025-09-25,CAPACITY_LOSS,61,17,30,35,27,81,3.0,1.0,35,DEGRADED
2025-09-26,NORMAL,30,27,30,60,14,10,1.9,1.0,60,HEALTHY
2025-09-27,NORMAL,54,28,30,60,13,12,2.0,1.0,60,HEALTHY
2025-09-28,NORMAL,39,25,30,60,16,6,1.5,1.0,60,HEALTHY
2025-09-29,CAPACITY_LOSS,59,13,30,35,37,49,1.5,1.0,35,DEGRADED
2025-09-30,CAPACITY_LOSS,64,16,30,35,30,86,2.3,1.0,35,DEGRADED
2025-10-01,NORMAL,51,30,30,60,13,19,1.4,1.0,60,HEALTHY
2025-10-02,DELIVERY_DELAY,75,28,30,60,18,37,20.6,1.0,60,DEGRADED
2025-10-03,URGENT_DEMAND,140,31,30,70,23,107,6.1,1.86,70,HEALTHY
2025-10-04,NORMAL,54,27,30,60,18,17,1.3,1.0,60,HEALTHY
2025-10-05,NORMAL,35,26,30,60,18,9,1.8,1.0,60,HEALTHY
2025-10-06,NORMAL,45,27,30,60,16,8,1.6,1.0,60,HEALTHY
2025-10-07,NORMAL,33,27,30,60,12,10,0.9,1.0,60,HEALTHY
2025-10-08,URGENT_DEMAND,99,31,30,70,21,88,6.9,2.33,70,HEALTHY
2025-10-09,URGENT_DEMAND,116,28,30,70,26,124,4.2,1.58,70,HEALTHY
2025-10-10,NORMAL,37,25,30,60,14,8,1.8,1.0,60,HEALTHY
2025-10-11,NORMAL,55,26,30,60,13,6,0.9,1.0,60,HEALTHY
2025-10-12,CAPACITY_LOSS,62,18,30,35,29,88,3.1,1.0,35,DEGRADED
2025-10-13,NORMAL,30,25,30,60,12,13,0.8,1.0,60,HEALTHY
2025-10-14,NORMAL,60,30,30,60,16,18,0.7,1.0,60,HEALTHY
2025-10-15,NORMAL,39,25,30,60,12,12,1.1,1.0,60,HEALTHY
2025-10-16,DELIVERY_DELAY,64,25,30,60,16,46,44.6,1.0,60,DEGRADED
2025-10-17,NORMAL,30,30,30,60,16,12,1.6,1.0,60,HEALTHY
2025-10-18,NORMAL,30,29,30,60,14,12,1.4,1.0,60,HEALTHY
2025-10-19,NORMAL,51,25,30,60,16,16,0.6,1.0,60,HEALTHY
2025-10-20,NORMAL,46,29,30,60,16,5,1.1,1.0,60,HEALTHY
2025-10-21,NORMAL,50,28,30,60,14,13,1.6,1.0,60,HEALTHY
2025-10-22,NORMAL,32,27,30,60,13,8,1.7,1.0,60,HEALTHY
2025-10-23,DELIVERY_DELAY,60,26,30,60,15,31,31.7,1.0,60,DEGRADED
2025-10-24,CAPACITY_LOSS,45,18,30,35,39,84,2.4,1.0,35,DEGRADED
2025-10-25,NORMAL,34,25,30,60,17,19,0.6,1.0,60,HEALTHY
2025-10-26,NORMAL,55,26,30,60,12,15,1.9,1.0,60,HEALTHY
2025-10-27,NORMAL,56,29,30,60,15,13,0.6,1.0,60,HEALTHY
2025-10-28,NORMAL,39,27,30,60,18,6,1.8,1.0,60,HEALTHY
2025-10-29,NORMAL,33,27,30,60,15,17,1.6,1.0,60,HEALTHY
2025-10-30,CAPACITY_LOSS,52,14,30,35,30,71,3.1,1.0,35,DEGRADED
2025-10-31,NORMAL,55,29,30,60,14,7,1.6,1.0,60,HEALTHY
2025-11-01,NORMAL,49,26,30,60,16,14,1.0,1.0,60,HEALTHY
2025-11-02,NORMAL,51,27,30,60,14,19,1.4,1.0,60,HEALTHY
2025-11-03,NORMAL,52,28,30,60,14,19,0.6,1.0,60,HEALTHY
2025-11-04,CAPACITY_LOSS,51,16,30,35,38,57,2.9,1.0,35,DEGRADED
2025-11-05,DELIVERY_DELAY,51,25,30,60,21,31,30.5,1.0,60,DEGRADED
2025-11-06,DELIVERY_DELAY,55,25,30,60,17,47,33.9,1.0,60,DEGRADED
2025-11-07,DELIVERY_DELAY,51,26,30,60,16,27,40.0,1.0,60,DEGRADED
2025-11-08,NORMAL,42,29,30,60,12,9,1.5,1.0,60,HEALTHY
2025-11-09,URGENT_DEMAND,113,31,30,70,21,77,5.2,1.6,70,HEALTHY
2025-11-10,NORMAL,37,25,30,60,12,10,1.2,1.0,60,HEALTHY
2025-11-11,NORMAL,47,25,30,60,14,13,1.6,1.0,60,HEALTHY
2025-11-12,NORMAL,49,27,30,60,17,20,0.8,1.0,60,HEALTHY
