return_id,inspection_date,inspector_id,physical_damage,functional_test,missing_accessories,packaging_damage,water_damage,battery_health,compatibility_verified,fault_confirmed,inspection_notes,inspection_outcome
RET-100034,2025-07-16,INSP-11,False,PASSED,False,False,False,99,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100035,2025-02-11,INSP-13,True,PASSED,False,True,False,88,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100036,2025-06-19,INSP-15,False,PASSED,True,False,False,85,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory
RET-100037,2025-08-18,INSP-14,True,PASSED,False,True,False,100,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100038,2025-11-25,INSP-13,False,PASSED,False,False,False,96,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100039,2025-06-27,INSP-16,False,PASSED,False,False,False,97,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100040,2025-09-03,INSP-19,False,PASSED,False,False,False,96,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100041,2025-08-05,INSP-20,False,PASSED,False,False,False,87,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100042,2025-05-07,INSP-13,False,FAILED,False,False,False,95,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100043,2025-08-08,INSP-18,False,FAILED,False,False,False,100,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100044,2025-11-11,INSP-16,True,PASSED,False,True,False,95,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100045,2025-12-20,INSP-16,False,PASSED,False,False,False,100,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100046,2025-05-27,INSP-11,False,PASSED,False,False,False,87,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100047,2025-04-24,INSP-17,False,PASSED,True,False,False,88,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory
RET-100048,2025-09-29,INSP-17,True,PASSED,False,True,False,96,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100049,2025-08-27,INSP-15,False,PASSED,False,False,False,87,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100050,2025-04-01,INSP-20,False,FAILED,False,False,False,99,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100051,2025-03-21,INSP-18,False,PASSED,False,False,False,100,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100052,2025-09-19,INSP-12,True,PASSED,False,True,False,89,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100053,2025-07-01,INSP-16,False,PASSED,False,False,False,94,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100054,2025-03-16,INSP-15,False,PASSED,False,False,False,92,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100055,2025-05-06,INSP-12,True,PASSED,False,False,True,88,True,True,Inspection completed. Outcome: Customer Damage,Customer Damage
RET-100056,2025-09-22,INSP-15,False,FAILED,False,False,False,89,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100057,2026-01-01,INSP-19,False,FAILED,False,False,False,100,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100058,2025-10-24,INSP-16,True,PASSED,False,True,False,96,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100059,2025-10-29,INSP-17,False,FAILED,False,False,False,94,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100060,2025-01-21,INSP-17,True,PASSED,False,True,False,98,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100061,2025-06-02,INSP-20,False,PASSED,False,True,False,90,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100062,2025-02-08,INSP-17,False,PASSED,True,False,False,100,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory
RET-100063,2025-05-18,INSP-14,False,PASSED,False,False,False,90,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100064,2025-05-04,INSP-19,False,PASSED,True,False,False,96,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory
RET-100065,2025-08-12,INSP-20,False,FAILED,False,False,False,89,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100066,2025-01-25,INSP-18,False,FAILED,False,False,False,99,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100067,2025-11-09,INSP-16,False,PASSED,False,False,False,98,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100068,2025-04-12,INSP-16,False,PASSED,False,False,False,89,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100069,2025-07-27,INSP-11,False,FAILED,False,False,False,86,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100070,2025-09-04,INSP-15,False,PASSED,False,False,False,98,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100071,2025-05-19,INSP-19,False,PASSED,False,False,False,98,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100072,2025-12-31,INSP-14,False,PASSED,False,False,False,94,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100073,2025-06-30,INSP-19,True,PASSED,False,False,False,91,True,True,Inspection completed. Outcome: Customer Damage,Customer Damage
RET-100074,2025-03-15,INSP-15,False,PASSED,False,False,False,94,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100075,2025-05-03,INSP-19,False,PASSED,False,False,False,94,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100076,2025-09-19,INSP-14,True,PASSED,False,False,False,100,True,True,Inspection completed. Outcome: Customer Damage,Customer Damage
RET-100077,2025-05-04,INSP-20,False,PASSED,False,False,False,89,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100078,2025-09-01,INSP-20,False,PASSED,False,False,False,99,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100079,2025-08-19,INSP-15,False,FAILED,False,False,False,100,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100080,2025-11-27,INSP-14,False,PASSED,False,False,False,98,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100081,2025-05-24,INSP-13,False,PASSED,False,False,False,92,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100082,2025-10-25,INSP-17,False,PASSED,False,False,False,97,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100083,2025-07-15,INSP-20,False,PASSED,False,False,False,91,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100084,2025-04-10,INSP-19,False,PASSED,False,False,False,96,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100085,2025-09-01,INSP-19,False,FAILED,False,False,False,92,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100086,2025-11-27,INSP-19,False,FAILED,False,False,False,85,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100087,2025-11-16,INSP-15,False,PASSED,False,False,False,93,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100088,2025-07-29,INSP-14,False,PASSED,False,False,False,88,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100089,2025-09-04,INSP-13,False,FAILED,False,False,False,95,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100090,2025-02-01,INSP-12,False,PASSED,False,False,False,94,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100091,2025-07-17,INSP-11,False,FAILED,False,False,False,95,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100092,2025-02-15,INSP-18,False,FAILED,False,False,False,93,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100093,2025-08-27,INSP-14,False,FAILED,False,False,False,100,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100094,2025-07-25,INSP-17,False,PASSED,False,False,False,89,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100095,2025-11-06,INSP-12,False,PASSED,False,False,False,95,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100096,2025-04-27,INSP-14,False,PASSED,False,False,False,95,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100097,2025-09-03,INSP-17,False,PASSED,False,False,False,98,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100098,2025-07-26,INSP-17,False,PASSED,False,False,False,95,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100099,2025-07-04,INSP-13,False,FAILED,False,False,False,90,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100100,2025-04-08,INSP-15,False,PASSED,False,False,False,94,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100101,2025-03-30,INSP-18,False,PASSED,False,False,False,94,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100102,2025-08-17,INSP-12,False,PASSED,False,False,False,94,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100103,2025-02-03,INSP-18,False,FAILED,False,False,False,96,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100104,2025-02-19,INSP-12,False,PASSED,False,False,False,99,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100105,2025-01-05,INSP-12,False,PASSED,False,False,False,98,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100106,2025-02-13,INSP-11,False,PASSED,False,False,False,89,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100107,2025-08-18,INSP-20,False,PASSED,False,False,False,92,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100108,2025-12-22,INSP-16,False,PASSED,False,False,False,87,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100109,2025-10-22,INSP-12,False,PASSED,False,False,False,89,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100110,2025-10-06,INSP-19,False,PASSED,False,False,False,96,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100111,2025-03-08,INSP-19,True,PASSED,False,True,False,88,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100112,2025-05-10,INSP-11,False,PASSED,True,False,False,92,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory
RET-100113,2025-05-27,INSP-17,False,PASSED,False,True,False,85,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100114,2025-10-02,INSP-15,False,PASSED,False,False,False,92,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100115,2025-06-16,INSP-20,False,FAILED,False,False,False,94,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100116,2025-03-19,INSP-17,False,PASSED,False,False,False,89,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100117,2025-10-28,INSP-15,True,PASSED,False,False,False,91,True,True,Inspection completed. Outcome: Customer Damage,Customer Damage
RET-100118,2025-01-21,INSP-15,True,PASSED,False,True,False,95,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100119,2025-11-04,INSP-20,True,PASSED,False,False,False,90,True,True,Inspection completed. Outcome: Customer Damage,Customer Damage
RET-100120,2025-11-01,INSP-16,False,PASSED,True,False,False,91,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory
RET-100121,2025-01-16,INSP-16,False,FAILED,False,False,False,100,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100122,2025-12-25,INSP-13,True,PASSED,False,False,True,88,True,True,Inspection completed. Outcome: Customer Damage,Customer Damage
RET-100123,2025-05-05,INSP-19,False,FAILED,False,False,False,97,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100124,2025-10-27,INSP-13,True,PASSED,False,True,False,98,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100125,2025-01-30,INSP-12,False,PASSED,False,False,False,100,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100126,2025-11-27,INSP-12,False,PASSED,False,False,False,86,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100127,2025-10-07,INSP-18,False,PASSED,False,False,False,89,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100128,2025-04-11,INSP-17,False,FAILED,False,False,False,98,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100129,2025-10-31,INSP-17,False,FAILED,False,False,False,97,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100130,2025-01-30,INSP-17,True,PASSED,False,True,False,93,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100131,2025-04-11,INSP-14,True,PASSED,False,False,False,96,True,True,Inspection completed. Outcome: Customer Damage,Customer Damage
RET-100132,2025-09-18,INSP-14,False,FAILED,False,False,False,47,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100133,2025-09-24,INSP-12,False,PASSED,False,False,False,97,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100134,2025-10-19,INSP-11,True,PASSED,False,True,False,89,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100135,2025-08-07,INSP-16,False,FAILED,False,False,False,90,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100136,2025-04-29,INSP-18,False,PASSED,False,False,False,95,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100137,2025-02-13,INSP-16,False,PASSED,False,False,False,91,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100138,2025-12-16,INSP-11,True,PASSED,False,True,False,90,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100139,2025-04-21,INSP-11,False,PASSED,False,False,False,100,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100140,2025-12-08,INSP-18,False,PASSED,False,False,False,100,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100141,2025-01-10,INSP-16,False,FAILED,False,False,False,94,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100142,2025-02-22,INSP-13,False,FAILED,False,False,False,98,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100143,2025-03-27,INSP-19,False,PASSED,False,False,False,85,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100144,2025-04-28,INSP-11,False,PASSED,False,False,False,95,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100145,2025-11-30,INSP-19,True,PASSED,False,True,False,94,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100146,2025-06-27,INSP-13,True,PASSED,False,False,False,90,True,True,Inspection completed. Outcome: Customer Damage,Customer Damage
RET-100147,2025-11-13,INSP-18,False,FAILED,False,False,False,98,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100148,2025-04-01,INSP-14,False,FAILED,False,False,False,91,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100149,2025-12-13,INSP-11,False,PASSED,False,False,False,88,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100150,2025-03-28,INSP-16,False,FAILED,False,False,False,33,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100151,2025-05-11,INSP-17,True,PASSED,False,False,False,97,True,True,Inspection completed. Outcome: Customer Damage,Customer Damage
RET-100152,2025-03-11,INSP-19,True,PASSED,False,True,False,90,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100153,2025-06-30,INSP-17,False,PASSED,False,False,False,95,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100154,2025-01-17,INSP-12,False,PASSED,True,False,False,98,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory
RET-100155,2025-06-22,INSP-15,False,FAILED,False,False,False,88,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100156,2025-08-16,INSP-19,False,PASSED,False,False,False,85,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100157,2025-04-21,INSP-13,False,PASSED,False,False,False,100,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100158,2025-11-17,INSP-15,False,PASSED,False,True,False,100,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100159,2025-04-04,INSP-15,False,PASSED,False,False,False,96,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100160,2025-09-23,INSP-14,False,PASSED,False,False,False,96,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100161,2025-09-01,INSP-16,False,FAILED,False,False,False,97,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100162,2025-09-16,INSP-11,False,FAILED,False,False,False,85,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100163,2025-03-12,INSP-14,False,FAILED,False,False,False,100,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100164,2025-10-30,INSP-19,False,PASSED,False,False,False,86,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100165,2025-12-07,INSP-20,False,PASSED,False,False,False,87,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100166,2025-04-09,INSP-16,True,PASSED,False,False,False,100,True,True,Inspection completed. Outcome: Customer Damage,Customer Damage
RET-100167,2025-05-13,INSP-20,False,PASSED,False,False,False,87,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100168,2025-05-17,INSP-11,False,PASSED,False,False,False,94,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100169,2025-12-27,INSP-14,False,PASSED,False,False,False,96,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100170,2025-07-30,INSP-11,False,FAILED,False,False,False,99,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100171,2025-02-08,INSP-14,False,PASSED,False,False,False,90,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100172,2025-05-05,INSP-15,True,PASSED,False,True,False,90,True,True,Inspection completed. Outcome: Shipping Damage,Shipping Damage
RET-100173,2025-03-10,INSP-14,False,PASSED,False,False,False,93,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100174,2025-07-10,INSP-18,False,FAILED,False,False,False,90,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100175,2025-10-05,INSP-20,False,PASSED,False,False,False,88,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100176,2025-12-02,INSP-16,False,PASSED,False,False,False,92,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100177,2025-11-09,INSP-19,False,PASSED,False,False,False,86,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100178,2025-11-17,INSP-20,False,FAILED,False,False,False,90,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100179,2025-08-13,INSP-17,False,PASSED,False,False,False,94,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100180,2025-01-08,INSP-18,False,PASSED,False,False,False,88,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100181,2025-04-10,INSP-12,False,FAILED,False,False,False,86,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100182,2025-07-24,INSP-19,False,FAILED,False,False,False,86,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100183,2025-09-06,INSP-18,False,PASSED,True,False,False,92,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory
RET-100184,2025-11-20,INSP-18,False,PASSED,False,False,False,93,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100185,2025-12-27,INSP-16,False,FAILED,False,False,False,85,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100186,2025-12-08,INSP-18,False,FAILED,False,False,False,97,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100187,2025-01-29,INSP-12,False,PASSED,False,False,False,86,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100188,2025-02-25,INSP-13,False,PASSED,True,False,False,95,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory
RET-100189,2025-07-03,INSP-11,False,PASSED,False,False,False,85,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100190,2025-06-15,INSP-16,False,PASSED,False,False,False,87,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100191,2025-12-24,INSP-17,False,FAILED,False,False,False,85,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100192,2025-01-26,INSP-11,False,FAILED,False,False,False,100,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100193,2025-02-16,INSP-16,False,PASSED,False,False,False,88,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100194,2025-06-30,INSP-12,False,PASSED,False,False,False,94,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100195,2025-01-14,INSP-18,False,PASSED,False,False,False,93,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100196,2025-12-07,INSP-14,False,FAILED,False,False,False,85,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100197,2025-09-11,INSP-14,False,FAILED,False,False,False,92,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100198,2025-06-12,INSP-13,False,PASSED,False,False,False,90,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue
RET-100199,2025-08-03,INSP-20,False,FAILED,False,False,False,89,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100200,2025-04-09,INSP-17,False,PASSED,False,False,False,97,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100201,2025-11-04,INSP-20,False,PASSED,False,False,False,99,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100202,2025-03-18,INSP-18,False,PASSED,False,False,False,88,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100203,2025-12-31,INSP-14,False,PASSED,False,False,False,88,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found
RET-100204,2025-01-09,INSP-20,False,PASSED,False,False,False,86,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100205,2025-02-16,INSP-12,False,PASSED,False,False,False,87,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce
RET-100206,2025-08-04,INSP-18,False,FAILED,False,False,False,43,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
RET-100207,2026-01-01,INSP-11,False,FAILED,False,False,False,37,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect
