return_id,order_id,customer_id,sku,return_date,purchase_date,return_text,customer_selected_reason,return_type,refund_amount,quantity,store_channel,return_channel,warranty_claim,days_since_purchase,return_status,ground_truth_reason,root_cause_group,preventable,preventable_owner,severity,ground_truth_priority
RET-100058,ORD-502155,CUST-131416,SKU-SPE-1132,2025-10-23,2025-10-14,screen arrived cracked,COMPATIBILITY_ISSUE,STANDARD_RETURN,828.03,1,MARKETPLACE,LOCKER,False,9,PROCESSED,SHIPPING_DAMAGE,LOGISTICS,YES,Logistics,MEDIUM,P2
RET-100059,ORD-531605,CUST-138035,SKU-SPE-1027,2025-10-26,2025-10-01,left earbud stopped working,PRODUCT_DEFECT,STANDARD_RETURN,210.09,1,ONLINE,MAIL,False,25,REJECTED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,HIGH,P4
RET-100060,ORD-571177,CUST-121025,SKU-CHA-1065,2025-01-20,2024-12-25,screen arrived cracked,SHIPPING_DAMAGE,STANDARD_RETURN,785.42,1,RETAIL_STORE,IN_STORE_DROP,False,26,PENDING_INSPECTION,SHIPPING_DAMAGE,LOGISTICS,YES,Logistics,MEDIUM,P2
RET-100061,ORD-578965,CUST-101827,SKU-CHA-1140,2025-06-01,2025-05-20,box arrived soaked in rain,PACKAGING_ISSUE,STANDARD_RETURN,1943.12,2,RETAIL_STORE,LOCKER,False,12,REJECTED,PACKAGING_ISSUE,LOGISTICS,YES,Warehouse,LOW,P4
RET-100062,ORD-557433,CUST-92281,SKU-HEA-1033,2025-02-05,2025-01-27,power adapter absent from sealed box,MISSING_ACCESSORY,WARRANTY,652.1,1,ONLINE,LOCKER,True,9,APPROVED,MISSING_ACCESSORY,PRODUCT,YES,Supplier,MEDIUM,P3
RET-100063,ORD-573620,CUST-97718,SKU-TAB-1068,2025-05-15,2025-04-21,not working,PACKAGING_ISSUE,STANDARD_RETURN,697.32,1,ONLINE,LOCKER,False,24,APPROVED,OTHER,UNKNOWN,YES,Customer,LOW,P4
RET-100064,ORD-515908,CUST-103172,SKU-POW-1036,2025-05-03,2025-04-06,mounting screws missing,LISTING_MISMATCH,STANDARD_RETURN,256.26,1,RETAIL_STORE,LOCKER,False,27,REJECTED,MISSING_ACCESSORY,PRODUCT,YES,Supplier,MEDIUM,P3
RET-100065,ORD-577043,CUST-101926,SKU-SMA-1034,2025-08-11,2025-07-24,device stopped turning on after two weeks,CUSTOMER_DAMAGE,STANDARD_RETURN,1002.99,1,RETAIL_STORE,MAIL,False,18,APPROVED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1
RET-100066,ORD-579317,CUST-112127,SKU-KEY-1145,2025-01-23,2024-12-26,speaker produces loud static noise,PRODUCT_DEFECT,STANDARD_RETURN,424.03,1,RETAIL_STORE,LOCKER,False,28,APPROVED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,HIGH,P1
RET-100067,ORD-560876,CUST-103371,SKU-CAB-1088,2025-11-08,2025-11-02,cannot get software setup to complete,SETUP_DIFFICULTY,WARRANTY,720.13,1,ONLINE,MAIL,True,6,PROCESSED,SETUP_DIFFICULTY,CONTENT,YES,Customer Support,LOW,P3
RET-100068,ORD-575719,CUST-137260,SKU-POW-1081,2025-04-09,2025-03-14,do3sn't fit,OTHER,WARRANTY,150.19,1,RETAIL_STORE,MAIL,True,26,PROCESSED,OTHER,UNKNOWN,YES,Customer,LOW,P4
RET-100069,ORD-552856,CUST-113983,SKU-SPE-1012,2025-07-26,2025-07-23,wifi drops connection constantly,PRODUCT_DEFECT,STANDARD_RETURN,122.73,1,ONLINE,MAIL,False,3,REJECTED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,HIGH,P4
RET-100070,ORD-517962,CUST-136766,SKU-MIC-1086,2025-09-01,2025-08-14,keyboard won't pair with mac os,COMPATIBILITY_ISSUE,STANDARD_RETURN,289.3,1,MARKETPLACE,IN_STORE_DROP,False,18,REJECTED,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2
RET-100071,ORD-503493,CUST-129120,SKU-LAP-1122,2025-05-17,2025-04-25,ordered wrong size by mistake,CUSTOMER_ORDER_ERROR,WARRANTY,1136.32,1,MARKETPLACE,MAIL,True,22,PROCESSED,CUSTOMER_ORDER_ERROR,CUSTOMER,NO,Customer,LOW,P4
RET-100072,ORD-561815,CUST-138224,SKU-SMA-1016,2025-12-29,2025-12-23,router does not support mesh network,COMPATIBILITY_ISSUE,STANDARD_RETURN,458.09,1,MARKETPLACE,LOCKER,False,6,APPROVED,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2
RET-100073,ORD-564095,CUST-110778,SKU-HEA-1123,2025-06-29,2025-06-10,submerged non-waterproof speaker,CUSTOMER_DAMAGE,STANDARD_RETURN,454.65,1,ONLINE,IN_STORE_DROP,False,19,PROCESSED,CUSTOMER_DAMAGE,CUSTOMER,NO,Customer,LOW,P4
RET-100074,ORD-535538,CUST-126833,SKU-KEY-1070,2025-03-13,2025-03-08,not compatible with iphone,SHIPPING_DAMAGE,STANDARD_RETURN,29.99,1,ONLINE,LOCKER,False,5,PENDING_INSPECTION,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2
RET-100075,ORD-507755,CUST-95863,SKU-SPE-1147,2025-04-30,2025-04-11,sound quality not as good as expected,PERFORMANCE_EXPECTATION,STANDARD_RETURN,357.99,1,RETAIL_STORE,MAIL,False,19,APPROVED,PERFORMANCE_EXPECTATION,CONTENT,YES,Content Team,LOW,P4
RET-100076,ORD-568724,CUST-122370,SKU-CHA-1035,2025-09-17,2025-09-01,submerged non-waterproof speaker,CUSTOMER_DAMAGE,STANDARD_RETURN,328.39,1,ONLINE,MAIL,False,16,REJECTED,CUSTOMER_DAMAGE,CUSTOMER,NO,Customer,LOW,P4
RET-100077,ORD-500896,CUST-107091,SKU-CAM-1099,2025-05-02,2025-04-16,tested fine customer didn't like color,WARRANTY_FAILURE,STANDARD_RETURN,342.35,1,RETAIL_STORE,LOCKER,False,16,APPROVED,NO_FAULT_FOUND,OPERATIONS,UNCERTAIN,Customer,LOW,P4
RET-100078,ORD-548972,CUST-117253,SKU-POW-1141,2025-08-31,2025-08-05,bluetooth disconnecting every few minutes,SETUP_DIFFICULTY,STANDARD_RETURN,847.7,1,MARKETPLACE,MAIL,False,26,PROCESSED,SETUP_DIFFICULTY,CONTENT,YES,Customer Support,LOW,P3
RET-100079,ORD-564072,CUST-95960,SKU-MIC-1131,2025-08-18,2025-07-22,power button got stuck,PRODUCT_DEFECT,STANDARD_RETURN,876.78,1,MARKETPLACE,MAIL,False,27,PROCESSED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1
RET-100080,ORD-553592,CUST-101796,SKU-CHA-1035,2025-11-26,2025-11-01,colour received is red not blue as listed,LISTING_MISMATCH,WARRANTY,328.39,1,RETAIL_STORE,MAIL,True,25,PENDING_INSPECTION,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2
RET-100081,ORD-560376,CUST-112686,SKU-KEY-1040,2025-05-23,2025-05-15,customer accidentally ordered wrong model,CUSTOMER_ORDER_ERROR,WARRANTY,823.25,1,ONLINE,MAIL,True,8,PROCESSED,CUSTOMER_ORDER_ERROR,CUSTOMER,NO,Customer,LOW,P4
RET-100082,ORD-566047,CUST-108958,SKU-GAM-1060,2025-10-23,2025-10-11,bought wrong connector version,CUSTOMER_ORDER_ERROR,STANDARD_RETURN,1030.23,1,MARKETPLACE,LOCKER,False,12,PENDING_INSPECTION,CUSTOMER_ORDER_ERROR,CUSTOMER,NO,Customer,LOW,P4
RET-100083,ORD-553512,CUST-99780,SKU-LAP-1077,2025-07-13,2025-07-06,camera quality is not as advertised,LISTING_MISMATCH,STANDARD_RETURN,431.9,1,ONLINE,IN_STORE_DROP,False,7,PENDING_INSPECTION,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2
RET-100084,ORD-579027,CUST-92592,SKU-SMA-1019,2025-04-08,2025-03-12,ordered wrong size by mistake,MISSING_ACCESSORY,WARRANTY,859.84,1,RETAIL_STORE,MAIL,True,27,PENDING_INSPECTION,CUSTOMER_ORDER_ERROR,CUSTOMER,NO,Customer,LOW,P4
RET-100085,ORD-565180,CUST-120541,SKU-MIC-1026,2025-08-30,2025-08-04,charging port loose after half year,CUSTOMER_DAMAGE,WARRANTY,1163.26,1,MARKETPLACE,LOCKER,True,26,REJECTED,WARRANTY_FAILURE,PRODUCT,YES,Product Team,HIGH,P1
RET-100086,ORD-544246,CUST-106865,SKU-POW-1126,2025-11-26,2025-11-01,left earbud stopped working,PRODUCT_DEFECT,WARRANTY,74.94,1,ONLINE,MAIL,True,25,PROCESSED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,HIGH,P4
RET-100087,ORD-559771,CUST-114459,SKU-SMA-1016,2025-11-14,2025-10-23,router does not support mesh network,NO_FAULT_FOUND,STANDARD_RETURN,458.09,1,ONLINE,LOCKER,False,22,REJECTED,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2
RET-100088,ORD-552023,CUST-95179,SKU-POW-1096,2025-07-28,2025-07-12,bad product,OTHER,STANDARD_RETURN,98.42,2,RETAIL_STORE,LOCKER,False,16,REJECTED,OTHER,UNKNOWN,YES,Customer,LOW,P4
RET-100089,ORD-527711,CUST-135370,SKU-MIC-1146,2025-01-01,2025-08-23,sp34k3r produc3s loud st4tic nois3,PRODUCT_DEFECT,STANDARD_RETURN,276.31,1,MARKETPLACE,IN_STORE_DROP,False,10,PROCESSED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,HIGH,P4
RET-100090,ORD-510280,CUST-122820,SKU-ROU-1089,2025-01-29,2025-01-24,screen brightness too low for outdoor use,PERFORMANCE_EXPECTATION,STANDARD_RETURN,608.06,1,RETAIL_STORE,IN_STORE_DROP,False,5,PENDING_INSPECTION,PERFORMANCE_EXPECTATION,CONTENT,YES,Content Team,LOW,P4
RET-100091,ORD-510753,CUST-107562,SKU-KEY-1040,2025-07-15,2025-06-21,pow3r button got stuck,PRODUCT_DEFECT,WARRANTY,823.25,1,ONLINE,IN_STORE_DROP,True,24,REJECTED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1
