return_id,order_id,customer_id,sku,return_date,purchase_date,return_text,customer_selected_reason,return_type,refund_amount,quantity,store_channel,return_channel,warranty_claim,days_since_purchase,return_status,ground_truth_reason,root_cause_group,preventable,preventable_owner,severity,ground_truth_priority,product_name,brand,product_category,subcategory,model,price,warranty_months,launch_date,weight,colour,battery_capacity,connector_type,operating_system,compatibility,supplier_id,packaging_type,listing_title,listing_description,listed_compatibility,listed_accessories,listed_dimensions,listed_colour,listing_last_updated,content_quality_score,compatibility_information_present,installation_guide_present,image_accuracy_score,viewed_product_page,viewed_compatibility_guide,viewed_size_guide,viewed_manual,contacted_support,support_contact_count,attempted_troubleshooting,replacement_requested,refund_requested,days_before_contact,customer_action_notes,inspection_date,inspector_id,physical_damage,functional_test,missing_accessories,packaging_damage,water_damage,battery_health,compatibility_verified,fault_confirmed,inspection_notes,inspection_outcome,date,scenario,returns_received,staff_available,normal_staff_capacity,processing_capacity,average_processing_minutes,backlog_size,carrier_delay_hours,urgent_demand_index,inspection_capacity,system_status
RET-102370,ORD-540948,CUST-129160,SKU-SMA-1034,2025-11-01,2025-10-30,screen keeps flickering,LISTING_MISMATCH,STANDARD_RETURN,1002.99,1,RETAIL_STORE,LOCKER,False,2,APPROVED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1,Zenith Smartwatche 134,Zenith,Smartwatches,Smartwatches Standard,MOD-2034,1002.99,24,2023-11-10,4.1,Space Gray,2000,3.5mm Jack,,Specific,SUP-114,Box,Zenith Smartwatche 134 - High Performance,Official Zenith Smartwatches with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",13x6x5 cm,Space Gray,2024-02-09,0.86,True,True,0.87,True,True,True,True,False,1,True,True,False,1,Customer initiated return for PRODUCT_DEFECT,2025-11-04,INSP-15,False,FAILED,False,False,False,98,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect,2025-11-01,NORMAL,49.0,26.0,30.0,60.0,16.0,14.0,1.0,1.0,60.0,HEALTHY
RET-105962,ORD-521625,CUST-132953,SKU-MIC-1116,2025-06-10,2025-05-31,product does not match description,LISTING_MISMATCH,STANDARD_RETURN,900.76,1,MARKETPLACE,IN_STORE_DROP,False,10,APPROVED,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2,OmniGear Mice 216,OmniGear,Mice,Mice Standard,MOD-2116,900.76,12,2023-04-13,3.95,Space Gray,0,Lightning,,Specific,SUP-108,Reinforced Case,OmniGear Mice 216 - High Performance,Official OmniGear Mice with Lightning support.,iOS and Android,"Charger, User Manual, Cable",27x10x1 cm,Space Gray,2024-04-11,0.85,True,True,0.91,True,False,True,False,True,0,False,False,True,1,Customer initiated return for LISTING_MISMATCH,2025-06-11,INSP-11,False,PASSED,False,False,False,90,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found,2025-06-10,NORMAL,52.0,27.0,30.0,60.0,16.0,13.0,1.1,1.0,60.0,HEALTHY
RET-102419,ORD-567179,CUST-106676,SKU-TVS-1082,2025-07-05,2025-06-29,left earbud stopped working,CUSTOMER_DAMAGE,STANDARD_RETURN,115.94,1,ONLINE,IN_STORE_DROP,False,6,PROCESSED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,HIGH,P4,NexusCore TV 182,NexusCore,TVs,TVs Standard,MOD-2082,115.94,12,2023-03-02,3.85,White,0,HDMI,,Specific,SUP-109,Reinforced Case,NexusCore TV 182 - High Performance,Official NexusCore TVs with HDMI support.,iOS and Android,"Charger, User Manual, Cable",11x14x1 cm,White,2024-02-23,0.86,True,True,0.94,True,True,False,True,False,1,True,True,False,6,Customer initiated return for PRODUCT_DEFECT,2025-07-06,INSP-14,False,FAILED,False,False,False,88,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect,2025-07-05,NORMAL,38.0,25.0,30.0,60.0,16.0,6.0,1.9,1.0,60.0,HEALTHY
RET-100854,ORD-559215,CUST-122664,SKU-SMA-1064,2025-09-24,2025-09-11,confusing setup steps device won't pair,SETUP_DIFFICULTY,STANDARD_RETURN,344.73,1,MARKETPLACE,LOCKER,False,13,REJECTED,SETUP_DIFFICULTY,CONTENT,YES,Customer Support,LOW,P3,UltraLink Smartwatche 164,UltraLink,Smartwatches,Smartwatches Standard,MOD-2064,344.73,36,2023-05-10,0.19,White,2000,Bluetooth,,iOS/Android,SUP-100,Pouch,UltraLink Smartwatche 164 - High Performance,Official UltraLink Smartwatches with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",14x12x1 cm,White,2024-05-24,0.58,True,False,0.45,True,False,True,False,True,3,False,False,True,5,Customer initiated return for SETUP_DIFFICULTY,2025-09-26,INSP-13,False,PASSED,False,False,False,94,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found,2025-09-24,DELIVERY_DELAY,52.0,27.0,30.0,60.0,21.0,40.0,40.5,1.0,60.0,DEGRADED
RET-107992,ORD-513366,CUST-131971,SKU-ROU-1089,2025-03-25,2025-03-02,not satisfied,OTHER,WARRANTY,608.06,1,ONLINE,LOCKER,True,23,APPROVED,OTHER,UNKNOWN,YES,Customer,LOW,P4,NexusCore Router 189,NexusCore,Routers,Routers Standard,MOD-2089,608.06,36,2023-08-13,3.03,Ocean Blue,0,USB-C,,Universal,SUP-111,Pouch,NexusCore Router 189 - High Performance,Official NexusCore Routers with USB-C support.,iOS and Android,"Charger, User Manual, Cable",24x9x2 cm,Ocean Blue,2024-05-29,0.92,True,False,0.93,True,False,True,True,True,2,True,False,True,7,Customer initiated return for OTHER,2025-03-28,INSP-16,False,PASSED,False,False,False,98,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce,2025-03-25,NORMAL,51.0,30.0,30.0,60.0,16.0,15.0,0.6,1.0,60.0,HEALTHY
RET-109909,ORD-514059,CUST-111208,SKU-MIC-1116,2025-05-28,2025-05-11,product does not match description,LISTING_MISMATCH,STANDARD_RETURN,900.76,1,ONLINE,IN_STORE_DROP,False,17,PROCESSED,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2,OmniGear Mice 216,OmniGear,Mice,Mice Standard,MOD-2116,900.76,12,2023-04-13,3.95,Space Gray,0,Lightning,,Specific,SUP-108,Reinforced Case,OmniGear Mice 216 - High Performance,Official OmniGear Mice with Lightning support.,iOS and Android,"Charger, User Manual, Cable",27x10x1 cm,Space Gray,2024-04-11,0.85,True,True,0.91,True,True,True,True,True,1,False,False,True,8,Customer initiated return for LISTING_MISMATCH,2025-05-29,INSP-12,False,PASSED,False,False,False,86,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found,2025-05-28,NORMAL,30.0,25.0,30.0,60.0,13.0,5.0,2.0,1.0,60.0,HEALTHY
RET-108595,ORD-523299,CUST-119531,SKU-ROU-1149,2025-02-18,2025-01-31,left earbud stopped working,PRODUCT_DEFECT,STANDARD_RETURN,1106.58,1,RETAIL_STORE,LOCKER,False,18,PENDING_INSPECTION,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1,Zenith Router 249,Zenith,Routers,Routers Standard,MOD-2149,1106.58,24,2023-10-22,2.91,Ocean Blue,0,Bluetooth,,iOS/Android,SUP-104,Box,Zenith Router 249 - High Performance,Official Zenith Routers with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",14x8x1 cm,Ocean Blue,2024-02-07,0.98,True,True,0.97,True,True,False,True,True,2,False,True,False,1,Customer initiated return for PRODUCT_DEFECT,2025-02-20,INSP-18,False,FAILED,False,False,False,97,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect,2025-02-18,NORMAL,57.0,26.0,30.0,60.0,12.0,7.0,1.5,1.0,60.0,HEALTHY
RET-110205,ORD-578294,CUST-125088,SKU-POW-1111,2025-12-05,2025-11-28,motherboard short circuited,PRODUCT_DEFECT,STANDARD_RETURN,1135.1,1,ONLINE,IN_STORE_DROP,False,7,APPROVED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1,Zenith Power Bank 211,Zenith,Power Banks,Power Banks Standard,MOD-2111,1135.1,24,2023-11-24,1.33,Space Gray,10000,3.5mm Jack,,Specific,SUP-103,Eco Carton,Zenith Power Bank 211 - High Performance,Official Zenith Power Banks with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",17x14x3 cm,Space Gray,2024-02-26,0.57,True,True,0.67,True,True,True,False,False,0,True,True,False,10,Customer initiated return for PRODUCT_DEFECT,2025-12-06,INSP-15,False,FAILED,False,False,False,85,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect,2025-12-05,NORMAL,34.0,25.0,30.0,60.0,12.0,14.0,1.9,1.0,60.0,HEALTHY
RET-103446,ORD-516581,CUST-129155,SKU-SPE-1057,2025-03-17,2025-03-02,bluetooth disconnecting every few minutes,COMPATIBILITY_ISSUE,STANDARD_RETURN,757.7,1,MARKETPLACE,LOCKER,False,15,PROCESSED,SETUP_DIFFICULTY,CONTENT,YES,Customer Support,LOW,P3,Zenith Speaker 157,Zenith,Speakers,Speakers Standard,MOD-2057,757.7,24,2023-08-14,1.5,Space Gray,2000,3.5mm Jack,,Specific,SUP-105,Pouch,Zenith Speaker 157 - High Performance,Official Zenith Speakers with 3.5mm Jack support.,iOS and Android,Device Only,23x10x5 cm,Space Gray,2024-04-29,0.51,True,False,0.42,True,False,True,False,True,2,False,False,True,1,Customer initiated return for SETUP_DIFFICULTY,2025-03-18,INSP-13,False,PASSED,False,False,False,98,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce,2025-03-17,NORMAL,31.0,30.0,30.0,60.0,15.0,5.0,1.3,1.0,60.0,HEALTHY
RET-101271,ORD-573465,CUST-130158,SKU-LAP-1092,2025-01-05,2024-12-25,customer accidentally ordered wrong model,CUSTOMER_ORDER_ERROR,STANDARD_RETURN,571.96,1,ONLINE,IN_STORE_DROP,False,11,APPROVED,CUSTOMER_ORDER_ERROR,CUSTOMER,NO,Customer,LOW,P4,SonicWave Laptop 192,SonicWave,Laptops,Laptops Standard,MOD-2092,571.96,36,2023-06-20,0.61,Silver,5000,3.5mm Jack,,Specific,SUP-105,Eco Carton,SonicWave Laptop 192 - High Performance,Official SonicWave Laptops with 3.5mm Jack support.,iOS and Android,"Charger, User Manual, Cable",10x15x5 cm,Silver,2024-04-28,0.86,True,True,0.93,True,False,False,True,False,2,False,False,True,9,Customer initiated return for CUSTOMER_ORDER_ERROR,2025-01-06,INSP-17,False,PASSED,False,False,False,99,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found,2025-01-05,NORMAL,57.0,25.0,30.0,60.0,18.0,10.0,1.5,1.0,60.0,HEALTHY
RET-100932,ORD-578278,CUST-136189,SKU-MIC-1071,2025-09-25,2025-09-07,power adapter absent from sealed box,MISSING_ACCESSORY,WARRANTY,1062.1,2,MARKETPLACE,LOCKER,True,18,APPROVED,MISSING_ACCESSORY,PRODUCT,YES,Supplier,MEDIUM,P3,VoltMax Mice 171,VoltMax,Mice,Mice Standard,MOD-2071,531.05,24,2023-11-12,3.9,Ocean Blue,0,HDMI,,Specific,SUP-106,Reinforced Case,VoltMax Mice 171 - High Performance,Official VoltMax Mice with HDMI support.,iOS and Android,"Charger, User Manual, Cable",20x5x4 cm,Ocean Blue,2024-03-24,0.89,True,True,0.95,True,False,False,False,True,1,False,True,True,5,Customer initiated return for MISSING_ACCESSORY,2025-09-26,INSP-13,False,PASSED,True,False,False,94,True,True,Inspection completed. Outcome: Missing Accessory,Missing Accessory,2025-09-25,CAPACITY_LOSS,61.0,17.0,30.0,35.0,27.0,81.0,3.0,1.0,35.0,DEGRADED
RET-110918,ORD-575416,CUST-105490,SKU-HEA-1048,2025-11-29,2025-11-11,power button got stuck,PRODUCT_DEFECT,WARRANTY,805.27,1,RETAIL_STORE,LOCKER,True,18,APPROVED,PRODUCT_DEFECT,PRODUCT,YES,Product Team,CRITICAL,P1,NexusCore Headphone 148,NexusCore,Headphones,Headphones Standard,MOD-2048,805.27,24,2023-07-26,0.72,Ocean Blue,5000,HDMI,,Specific,SUP-110,Eco Carton,NexusCore Headphone 148 - High Performance,Official NexusCore Headphones with HDMI support.,iOS and Android,"Charger, User Manual, Cable",28x14x3 cm,Ocean Blue,2024-04-29,0.88,True,True,0.88,True,False,True,False,True,2,True,True,False,10,Customer initiated return for PRODUCT_DEFECT,2025-12-01,INSP-20,False,FAILED,False,False,False,86,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect,2025-11-29,DELIVERY_DELAY,63.0,29.0,30.0,60.0,15.0,35.0,44.0,1.0,60.0,DEGRADED
RET-103444,ORD-554680,CUST-121450,SKU-ROU-1134,2025-03-07,2025-02-27,display lines appeared after 5 months,MISSING_ACCESSORY,WARRANTY,132.53,1,MARKETPLACE,IN_STORE_DROP,True,8,PROCESSED,WARRANTY_FAILURE,PRODUCT,YES,Product Team,HIGH,P4,UltraLink Router 234,UltraLink,Routers,Routers Standard,MOD-2134,132.53,6,2024-03-12,3.29,White,0,3.5mm Jack,,Specific,SUP-111,Blister Pack,UltraLink Router 234 - High Performance,Official UltraLink Routers with 3.5mm Jack support.,See Description,"Charger, User Manual, Cable",27x10x1 cm,White,2024-04-15,0.87,False,False,0.99,True,False,True,False,True,2,True,False,True,7,Customer initiated return for WARRANTY_FAILURE,2025-03-09,INSP-14,False,FAILED,False,False,False,96,True,True,Inspection completed. Outcome: Confirmed Defect,Confirmed Defect,2025-03-07,NORMAL,41.0,29.0,30.0,60.0,18.0,18.0,2.0,1.0,60.0,HEALTHY
RET-107726,ORD-526349,CUST-101539,SKU-TAB-1053,2025-02-15,2025-02-08,colour received is red not blue as listed,LISTING_MISMATCH,STANDARD_RETURN,488.59,1,RETAIL_STORE,IN_STORE_DROP,False,7,PENDING_INSPECTION,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2,Zenith Tablet 153,Zenith,Tablets,Tablets Standard,MOD-2053,488.59,12,2023-12-02,1.17,White,2000,Bluetooth,Android,iOS/Android,SUP-107,Box,Zenith Tablet 153 - High Performance,Official Zenith Tablets with Bluetooth support.,iOS and Android,"Charger, User Manual, Cable",13x12x2 cm,White,2024-04-28,0.94,True,True,0.99,True,False,True,True,False,2,True,False,True,8,Customer initiated return for LISTING_MISMATCH,2025-02-17,INSP-12,False,PASSED,False,False,False,88,True,False,Inspection completed. Outcome: No Fault Found,No Fault Found,2025-02-15,DELIVERY_DELAY,75.0,29.0,30.0,60.0,22.0,24.0,18.8,1.0,60.0,DEGRADED
RET-104848,ORD-550158,CUST-106762,SKU-POW-1081,2025-08-05,2025-07-22,product does not match description,LISTING_MISMATCH,STANDARD_RETURN,150.19,1,RETAIL_STORE,IN_STORE_DROP,False,14,PENDING_INSPECTION,LISTING_MISMATCH,CONTENT,YES,Content Team,HIGH,P2,Zenith Power Bank 181,Zenith,Power Banks,Power Banks Standard,MOD-2081,150.19,6,2023-07-25,2.93,Midnight Black,10000,USB-C,,Universal,SUP-102,Blister Pack,Zenith Power Bank 181 - High Performance,Official Zenith Power Banks with USB-C support.,iOS and Android,"Charger, User Manual, Cable",17x13x4 cm,Midnight Black,2024-04-25,0.82,True,True,0.97,True,True,True,True,False,2,True,False,True,7,Customer initiated return for LISTING_MISMATCH,2025-08-07,INSP-13,False,PASSED,False,False,False,96,True,False,Inspection completed. Outcome: Unable to Reproduce,Unable to Reproduce,2025-08-05,URGENT_DEMAND,94.0,28.0,30.0,70.0,25.0,78.0,2.4,1.41,70.0,HEALTHY
RET-103155,ORD-571722,CUST-136310,SKU-MIC-1146,2025-08-25,2025-08-23,router does not support mesh network,CUSTOMER_ORDER_ERROR,STANDARD_RETURN,276.31,1,MARKETPLACE,IN_STORE_DROP,False,2,PENDING_INSPECTION,COMPATIBILITY_ISSUE,CONTENT,YES,Content Team,MEDIUM,P2,AeroTech Mice 246,AeroTech,Mice,Mice Standard,MOD-2146,276.31,6,2023-01-04,1.58,Silver,0,Lightning,,Specific,SUP-112,Blister Pack,AeroTech Mice 246 - High Performance,Official AeroTech Mice with Lightning support.,iOS and Android,"Charger, User Manual, Cable",20x7x5 cm,Silver,2024-04-27,0.94,True,False,0.85,True,False,True,False,False,1,True,False,True,10,Customer initiated return for COMPATIBILITY_ISSUE,2025-08-28,INSP-14,False,PASSED,False,False,False,93,False,False,Inspection completed. Outcome: Compatibility Issue,Compatibility Issue,2025-08-25,NORMAL,45.0,29.0,30.0,60.0,15.0,18.0,0.9,1.0,60.0,HEALTHY
